model,model_display,train_set,synthetic_ratio,synthetic_full19_p,synthetic_full19_r,synthetic_full19_f1,synthetic_full19_tp,synthetic_full19_fp,synthetic_full19_fn,synthetic_common18_p,synthetic_common18_r,synthetic_common18_f1,synthetic_common18_tp,synthetic_common18_fp,synthetic_common18_fn,combined_full19_p,combined_full19_r,combined_full19_f1,combined_full19_tp,combined_full19_fp,combined_full19_fn,combined_common18_p,combined_common18_r,combined_common18_f1,combined_common18_tp,combined_common18_fp,combined_common18_fn,kdpii_full19_p,kdpii_full19_r,kdpii_full19_f1,kdpii_full19_tp,kdpii_full19_fp,kdpii_full19_fn,kdpii_common18_p,kdpii_common18_r,kdpii_common18_f1,kdpii_common18_tp,kdpii_common18_fp,kdpii_common18_fn
klue_roberta_large,KLUE RoBERTa-large,kdpii_full,0,0.9059,0.9181,0.912,5972,620,533,0.9062,0.9181,0.9121,5972,618,533,0.9166,0.9267,0.9216,7296,664,577,0.9168,0.9266,0.9217,7287,661,577,0.9678,0.9678,0.9678,1324,44,44,0.9683,0.9676,0.968,1315,43,44
klue_roberta_large,KLUE RoBERTa-large,mix_syn025,0.25,0.9899,0.952,0.9706,6193,63,312,0.9899,0.952,0.9706,6193,63,312,0.9856,0.9547,0.9699,7516,110,357,0.9857,0.9546,0.9699,7507,109,357,0.9657,0.9671,0.9664,1323,47,45,0.9662,0.9669,0.9665,1314,46,45
klue_roberta_large,KLUE RoBERTa-large,mix_syn050,0.5,0.9915,0.9531,0.9719,6200,53,305,0.9915,0.9531,0.9719,6200,53,305,0.9885,0.952,0.9699,7495,87,378,0.9885,0.9519,0.9699,7486,87,378,0.9744,0.9466,0.9603,1295,34,73,0.9742,0.9463,0.9601,1286,34,73
klue_roberta_large,KLUE RoBERTa-large,mix_syn100,1.0,0.9938,0.9571,0.9751,6226,39,279,0.9938,0.9571,0.9751,6226,39,279,0.9856,0.959,0.9721,7550,110,323,0.9856,0.9589,0.9721,7541,110,323,0.9491,0.9678,0.9584,1324,71,44,0.9488,0.9676,0.9581,1315,71,44
klue_roberta_large,KLUE RoBERTa-large,mix_syn_all,all,0.9925,0.9579,0.9749,6231,47,274,0.9925,0.9579,0.9749,6231,47,274,0.9882,0.9576,0.9726,7539,90,334,0.9882,0.9575,0.9726,7530,90,334,0.9682,0.9561,0.9621,1308,43,60,0.968,0.9558,0.9619,1299,43,60
klue_roberta_large,KLUE RoBERTa-large,synthetic_only,only,0.9936,0.9585,0.9757,6235,40,270,0.9936,0.9585,0.9757,6235,40,270,0.9505,0.8931,0.9209,7031,366,842,0.9505,0.8929,0.9208,7022,366,842,0.7094,0.5819,0.6394,796,326,572,0.7071,0.5791,0.6367,787,326,572
microsoft_presidio_spacy_regex,Microsoft Presidio+spaCy+regex,none,N/A,0.6216,0.7391,0.6753,4808,2927,1697,0.6216,0.7391,0.6753,4808,2927,1697,0.5959,0.7094,0.6477,5585,3788,2288,0.5955,0.7091,0.6473,5576,3788,2288,0.4744,0.568,0.517,777,861,591,0.4715,0.5651,0.5141,768,861,591
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,kdpii_full,0,0.8404,0.2945,0.4362,1916,364,4589,0.8433,0.2945,0.4366,1916,356,4589,0.8579,0.3168,0.4627,2494,413,5379,0.8599,0.316,0.4622,2485,405,5379,0.9127,0.4203,0.5756,575,55,793,0.9114,0.4165,0.5717,566,55,793
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn025,0.25,0.978,0.4097,0.5775,2665,60,3840,0.978,0.4097,0.5775,2665,60,3840,0.9637,0.4114,0.5766,3239,122,4634,0.9636,0.4107,0.576,3230,122,4634,0.9072,0.4218,0.5758,577,59,791,0.9059,0.418,0.572,568,59,791
openai_privacy_filter_lora,OpenAI privacy-filter LoRA,mix_syn050,0.5,0.9795,0.4115,0.5796,2677,56,3828,0.9799,0.4115,0.5796,2677,55,3828,0.9679,0.4133,0.5793,3254,108,4619,0.9681,0.4126,0.5786,3245,107,4619,0.9192,0.424,0.5803,580,51,788,0.918,0.4202,0.5765,571,51,788
